GLOBALEVENTID,Actor1Code,Actor1Name,Actor1CountryCode,Actor1Type1Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2Type1Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,AvgTone,SOURCEURL
1115151322,IGOUNOREFHCR,UNHCR,,IGO,ETHREF,ETHIOPIA,ETH,REF,1,71,71,7,-7.835820896,https://www.nigeriasun.com/news/273900138/unhcr-faces-critical-funding-gap-to-meet-needs-of-refugees-in-ethiopia
1115163341,LAB,WORKER,,LAB,BUS,BUSINESS,,BUS,1,110,110,11,-0.487804878,https://winnipeg.ctvnews.ca/a-game-changer-manitoba-staffing-agency-helps-ukrainian-refugees-find-meaningful-work-1.6481522
1115172463,,,,,UKR,KYIV,UKR,,1,42,42,4,-0.1715265866,https://www.wbko.com/2023/07/16/ukrainian-refugee-supports-family-with-art-sales-community-farmers-market/
1115175737,REF,REFUGEE,,REF,,,,,1,51,51,5,-2.552204176,https://www.aljazeera.com/opinions/2023/7/16/refugees-need-more-than-food-and-housing
1115180222,CVL,CITIZEN,,CVL,REF,REFUGEE,,REF,1,60,60,6,-0.5263157895,https://www.journal-topics.com/events/united-states/illinois/skokie-2/events/film-screening-refugee-lullaby/
1115180236,EDU,SCHOOL,,EDU,BUS,BOSS,,BUS,1,130,130,13,-0.426742532,https://www.pressandjournal.co.uk/fp/news/aberdeen-aberdeenshire/5912611/aberdeen-schools-funding-ukrainian-refugees/
1115180591,UKRREF,UKRAINE,UKR,REF,,,,,1,173,173,17,1.379310345,https://www.herald-dispatch.com/features_entertainment/5k-race-to-benefit-ukrainian-refugees/article_ddacaaf1-4ea2-5519-a86b-cb0c539ac22d.html
1115203483,IRL,IRELAND,IRL,,REF,REFUGEE,,REF,1,43,43,4,0.25,https://www.bignewsnetwork.com/news/273900509/suspension-of-visa-free-travel-to-ireland-for-refugees-extended
1115203736,REF,REFUGEE,,REF,,,,,1,50,50,5,-0.5309442279,https://www.sfgate.com/westport/article/syrian-refugee-family-9-settles-stratford-18163792.php
1115205226,REF,REFUGEE,,REF,,,,,1,50,50,5,-0.5082592122,https://www.thehour.com/westport/article/syrian-refugee-family-9-settles-stratford-18163792.php
1115209849,IRL,IRELAND,IRL,,REF,REFUGEE,,REF,1,172,172,17,0.2487562189,https://www.europesun.com/news/273900509/ireland-extends-ban-on-visa-free-travel-for-refugees-for-one-year
1115210997,,,,,GOV,GOVERNMENT,,GOV,1,42,42,4,0.9036144578,https://www.darlingtonandstocktontimes.co.uk/news/23656929.north-yorkshire-council-awarded-830-000-support-ukrainian-refugees/
1115225914,UGA,UGANDA,UGA,,REF,REFUGEE,,REF,1,20,20,2,-9.523809524,https://igad.int/events/national-review-workshop-on-the-draft-report-on-the-status-of-refugee-management-in-the-igad-region-and-igads-policy-framework-on-refugee-protection/
1115237358,,,,,AFG,AFGHANISTAN,AFG,,1,42,42,4,-8.009708738,https://en.shafaqna.com/316774/abeyance-in-the-green-hell-situation-of-afghan-refugees-in-indonesia/
1115237437,AFG,AFGHANISTAN,AFG,,AFGINSTAL,TALIBAN,AFG,INS,1,42,42,4,-5.640423032,https://www.ctvnews.ca/canada/afghan-refugees-defy-odds-to-escape-oppression-and-find-freedom-in-canada-1.6480913
1115249021,GBR,UNITED KINGDOM,GBR,,DEU,NUREMBERG,DEU,,1,13,13,1,-7.112068966,https://morningstaronline.co.uk/article/b/calling-the-far-right-nazis-is-racist-scottish-cops-tell-refugee-solidarity-groups-in-erskine
1115250062,COP,POLICE,,COP,BTNREF,BHUTANESE,BTN,REF,1,173,173,17,-9.765625,https://reviewnepal.com/national/police-arrest-tuladhar-who-was-out-on-bail-in-the-fake-bhutanese-refugee-case-again-for-his-involvement-in-the-lalitaniwas-land-scam-related-case.html
1115254941,,,,,GBR,UNITED KINGDOM,GBR,,1,42,42,4,-0.4991680532,https://www.telegraph.co.uk/news/2023/07/16/british-families-paid-take-afghan-refugees-reduce-hotels/
1115264295,IGOEUREEC,EUROPEAN PARLIAMENT,EUR,IGO,SYR,SYRIAN,SYR,,1,51,51,5,-6.666666667,https://www.islamicinvitationturkey.com/sayyed-safieddine-eu-resolution-pertaining-syrian-refugees-is-heinous-insolent-intervention/
1115264521,UKR,UKRAINE,UKR,,CVL,RESIDENTS,,CVL,1,111,111,11,-1.864801865,https://www.longfordleader.ie/news/property/1249504/twenty-six-modular-homes-for-ukrainian-refugees-now-in-place-at-midlands-site.html
